"","start_station_name","avg_start_lat","avg_start_lng","neighborhood"
"326","Jefferson St & Monroe St",41.8803331591521,-87.6427523135059,"West Loop"
"327","Jeffery Blvd & 67th St",41.77351755125,-87.5771428255,"Jackson Park"
"328","Jeffery Blvd & 71st St",41.76663823695,-87.5764501141,"South Shore"
"329","Jeffery Blvd & 76th St",41.75712006802,-87.5758393587,"South Shore"
"330","Karlov Ave & Armitage Ave",41.91748,-87.728952,"Hermosa"
"331","Karlov Ave & Kamerling Ave",42.015962,-87.66857,"Rogers Park"
"332","Karlov Ave & Lawrence Ave",41.967947,-87.730409,"Albany Park"
"333","Karlov Ave & Madison St",41.88085,-87.727907,"Garfield Park"
"334","Kedzie Ave & 110th St",41.6923947458756,-87.7009606361389,"Mount Greenwood"
"335","Kedzie Ave & 21st St",41.85353363213,-87.7050730318,"Little Village"
"336","Kedzie Ave & 24th St ",41.8481512805541,-87.7054035206263,"Little Village"
"337","Kedzie Ave & 66th Pl",41.772584,-87.703007,"Chicago Lawn"
"338","Kedzie Ave & 73rd St",41.760703,-87.702292,"Chicago Lawn"
"339","Kedzie Ave & 83rd St",41.742523,-87.702279,"Ashburn"
"340","Kedzie Ave & Bryn Mawr Ave",41.9822297591152,-87.7088865637779,"North Park"
"341","Kedzie Ave & Chicago Ave",41.89546530305,-87.7061278837,"Humboldt Park"
"342","Kedzie Ave & Foster Ave",41.975672,-87.709261,"North Park"
"343","Kedzie Ave & Harrison St",41.87359967462,-87.7048707493,"Garfield Park"
"344","Kedzie Ave & Lake St",41.88460328501,-87.7063037436,"Garfield Park"
"345","Kedzie Ave & Leland Ave",41.96668636205,-87.7080519806,"Albany Park"
"346","Kedzie Ave & Milwaukee Ave",41.9295670354084,-87.7078570663662,"Logan Square"
